[2018-05-26 13:23:55] GREEDY||samples/karate.gml||louvain||50||[0.27092832970345093, 0.26654818079817205, 0.26229342490928376, 0.25817022054555205, 0.25417260530601893, 0.2502949700500297, 0.24667966002630504, 0.24326624117721235, 0.23996718304479503, 0.2367549254492328, 0.23361140350166257, 0.23054635924143407, 0.22760626473609574, 0.22477142514302414, 0.22200514227252424, 0.21935201915954425, 0.21678244890396522, 0.21426218135760672, 0.21179889806029328, 0.20938838498515314, 0.2070332443723627, 0.20475316580778766, 0.20252714592236007, 0.20034823056250145, 0.1982149277602322, 0.1961189971841431, 0.19410047988681792, 0.19211548125283065, 0.19017539859090252, 0.188273500836351, 0.18640075674715637, 0.18457580436869175, 0.18279903327403427, 0.18105603655186908, 0.1793454547803048, 0.17766638014337552, 0.17601158764880337, 0.1743868239168849, 0.17280166081602827, 0.17125955284602495, 0.16974069691012572, 0.16824812906577408, 0.16677571731860472, 0.16535506800958943, 0.16395336780582395, 0.16257384237784717, 0.16121226860240698, 0.15987296897820596, 0.15855303777165325, 0.15724947494556815]||[1.0, 0.8940397350993378, 0.7716049382716049, 0.8940397350993378, 0.7716049382716049, 0.6049382716049383, 0.7716049382716049, 0.42105263157894735, 0.27699530516431925, 0.4521276595744681, 0.43414634146341463, 0.3879781420765027, 0.33014354066985646, 0.4913294797687861, 0.39086294416243655, 0.39086294416243655, 0.2835820895522388, 0.336283185840708, 0.37142857142857144, 0.3613861386138614, 0.37142857142857144, 0.3541666666666667, 0.37142857142857144, 0.24358974358974358, 0.225531914893617, 0.23076923076923078, 0.24271844660194175, 0.2009132420091324, 0.22535211267605634, 0.22535211267605634, 0.2537313432835821, 0.28440366972477066, 0.28440366972477066, 0.28440366972477066, 0.19444444444444445, 0.2702702702702703, 0.2702702702702703, 0.22613065326633167, 0.24423963133640553, 0.2955665024630542, 0.2237442922374429, 0.25757575757575757, 0.3020833333333333, 0.32323232323232326, 0.32608695652173914, 0.32608695652173914, 0.2647058823529412, 0.17842323651452283, 0.23873873873873874, 0.2512315270935961]
[2018-05-26 13:24:54] GA||samples/karate.gml||louvain||6||0.250447||0.750000
[2018-05-26 13:24:54] GA||samples/karate.gml||louvain||5||0.254173||0.771605
[2018-05-26 13:24:54] GA||samples/karate.gml||louvain||4||0.258170||0.608247
[2018-05-26 13:24:55] GA||samples/karate.gml||louvain||7||0.246803||0.573770
[2018-05-26 13:24:55] GA||samples/karate.gml||louvain||1||0.270928||1.000000
[2018-05-26 13:24:55] GA||samples/karate.gml||louvain||2||0.266548||0.894040
[2018-05-26 13:24:57] GA||samples/karate.gml||louvain||3||0.262293||0.894040
[2018-05-26 13:25:18] GA||samples/karate.gml||louvain||8||0.243523||0.356784
[2018-05-26 13:26:13] GA||samples/karate.gml||louvain||12||0.231005||0.283582
[2018-05-26 13:26:14] GA||samples/karate.gml||louvain||9||0.240211||0.324074
[2018-05-26 13:26:16] GA||samples/karate.gml||louvain||14||0.225025||0.272727
[2018-05-26 13:26:16] GA||samples/karate.gml||louvain||10||0.237132||0.427136
[2018-05-26 13:26:17] GA||samples/karate.gml||louvain||11||0.234171||0.485714
[2018-05-26 13:26:17] GA||samples/karate.gml||louvain||13||0.227977||0.482927
[2018-05-26 13:26:17] GA||samples/karate.gml||louvain||15||0.222696||0.375000
[2018-05-26 13:26:41] GA||samples/karate.gml||louvain||16||0.220084||0.440000
[2018-05-26 13:27:37] GA||samples/karate.gml||louvain||17||0.217489||0.676301
[2018-05-26 13:27:38] GA||samples/karate.gml||louvain||18||0.215065||0.449438
[2018-05-26 13:27:40] GA||samples/karate.gml||louvain||19||0.212607||0.410377
[2018-05-26 13:27:41] GA||samples/karate.gml||louvain||20||0.210307||0.248804
[2018-05-26 13:27:42] GA||samples/karate.gml||louvain||21||0.207958||0.432836
[2018-05-26 13:27:46] GA||samples/karate.gml||louvain||22||0.205541||0.328571
[2018-05-26 13:27:49] GA||samples/karate.gml||louvain||23||0.203467||0.437186
[2018-05-26 13:28:18] GA||samples/karate.gml||louvain||24||0.201341||0.362550
